iter	Passed	Remaining
111	433626	3438042
112	437752	3436167
113	441577	3431907
114	444881	3423651
115	448659	3419094
116	452886	3417935
117	456645	3413230
118	460010	3405625
119	462757	3393554
120	465607	3382390
121	468862	3374275
122	471889	3364611
123	474854	3354619
124	478315	3348210
125	481536	3340184
126	484848	3332858
127	487851	3323490
128	491526	3318758
129	494213	3307426
130	497342	3299164
131	500917	3293914
132	504035	3285705
133	508144	3283979
134	511243	3275744
135	515514	3275032
136	518440	3265794
137	521282	3256124
138	525232	3253417
139	528709	3247788
140	532419	3243606
141	536797	3243465
142	540506	3239257
143	544209	3235022
144	546188	3220628
145	549388	3213544
146	553567	3212200
147	557141	3207328
148	559666	3196485
149	563412	3192670
150	567387	3190146
151	570469	3182616
152	574805	3182094
153	578001	3175256
154	581025	3167524
155	583232	3155435
156	586922	3151437
157	590124	3144839
158	593113	3137162
159	597790	3138398
160	601501	3134533
161	605583	3132586
162	608825	3126300
163	612477	3122140
164	615940	3117033
165	620103	3115460
166	623870	3111881
167	627844	3109326
168	630745	3101474
169	634963	3100117
170	638318	3094538
171	641711	3089168
172	644849	3082604
173	648894	3080386
174	652477	3075967
175	655953	3071056
176	663002	3082773
177	668044	3085015
178	672137	3082820
179	676030	3079693
180	680297	3078250
181	683186	3070583
182	686791	3066168
183	690083	3060370
184	693444	3054902
185	696346	3047453
186	700020	3043406
187	703053	3036592
188	705953	3029249
189	709356	3024100
190	712698	3018705
191	716032	3013305
192	719478	3008389
193	721946	2999425
194	724990	2992907
195	727754	2985279
196	730672	2978324
197	734442	2974861
198	737602	2968943
199	741422	2965689
200	744837	2960820
201	747888	2954528
202	750884	2948051
203	753824	2941392
204	756373	2933252
205	758729	2924423
206	761780	2918318
207	764866	2912375
208	767063	2903095
209	769673	2895438
210	772871	2890025
211	775954	2884206
212	779432	2879873
213	782410	2873714
214	785364	2867493
215	788345	2861403
216	791716	2856748
217	795163	2852373
218	798179	2846475
219	800912	2839598
220	803903	2833669
221	806365	2825911
222	809610	2820928
223	814024	2820011
224	818241	2818388
225	821085	2812036
226	824214	2806686
227	830878	2813324
228	836934	2817801
229	840955	2815372
230	845263	2813886
231	847811	2806548
232	851993	2804631
233	855293	2799806
234	858487	2794651
235	861352	2788447
236	864633	2783610
237	868363	2780222
238	872337	2777608
239	875945	2773827
240	878556	2766905
241	881625	2761454
242	885289	2757875
243	887842	2750856
244	891568	2747487
245	894340	2741191
246	898461	2739033
247	902849	2737672
248	906688	2734629
249	909293	2727880
250	912884	2724105
251	916429	2720194
252	919778	2715709
253	923177	2711380
254	925724	2704566
255	929326	2700855
256	932622	2696260
257	935838	2691443
258	940262	2690093
259	943455	2685219
260	946214	2679129
261	949652	2674974
262	953224	2671203
263	956882	2667672
264	960598	2664300
265	964074	2660264
266	967690	2656617
267	971894	2654577
268	976138	2652629
269	979364	2647910
270	982502	2642968
271	985752	2638337
272	988949	2633576
273	991626	2627448
274	994979	2623127
275	997590	2616867
276	1001342	2613612
277	1005735	2612016
278	1009428	2608595
279	1012060	2602440
280	1014764	2596498
281	1018236	2592531
282	1021535	2588130
283	1024546	2583012
284	1027995	2579006
285	1031602	2575399
286	1035125	2571583
287	1039294	2569366
288	1042835	2565593
289	1045615	2559954
290	1048452	2554478
291	1051755	2550147
292	1055178	2546112
293	1059054	2543171
294	1062550	2539314
295	1066104	2535600
296	1069661	2531891
297	1073180	2528096
298	1077776	2526828
299	1081938	2524522
300	1086941	2524160
301	1091507	2522755
302	1095946	2521037
303	1099997	2518416
304	1103651	2514878
305	1106850	2510306
306	1111744	2509573
307	1115865	2507075
308	1119823	2504201
309	1123240	2500115
310	1126903	2496579
311	1129618	2490953
312	1133274	2487411
313	1136728	2483425
314	1139916	2478865
315	1142900	2473872
316	1145815	2468743
317	1149679	2465665
318	1152643	2460659
319	1157294	2459250
320	1160779	2455354
321	1164251	2451437
322	1168558	2449269
323	1172704	2446753
324	1175911	2442278
325	1179936	2439501
326	1182754	2434232
327	1185785	2429414
328	1189765	2426543
329	1192141	2420408
330	1194979	2415230
331	1197353	2409132
332	1200526	2404657
333	1203873	2400537
334	1207593	2397162
335	1210478	2392135
336	1213893	2388163
337	1217222	2384027
338	1220664	2380115
339	1224224	2376436
340	1227349	2371916
341	1231246	2368889
342	1234887	2365367
343	1237925	2360695
344	1241321	2356712
345	1244595	2352500
346	1247709	2347995
347	1250760	2343378
348	1254490	2340038
349	1257841	2335992
350	1261088	2331756
351	1264943	2328646
352	1268052	2324165
353	1271760	2320782
354	1276086	2318524
355	1279656	2314884
356	1283668	2312040
357	1287035	2308036
358	1290726	2304612
359	1293784	2300061
360	1297496	2296676
361	1300906	2292757
362	1305056	2290140
363	1308526	2286326
364	1312127	2282742
365	1316301	2280150
366	1319371	2275645
367	1322719	2271627
368	1325808	2267169
369	1328882	2262692
370	1331820	2257992
371	1334887	2253518
372	1337812	2248816
373	1340750	2244143
374	1344058	2240097
375	1347020	2235481
376	1349865	2230679
377	1353381	2226993
378	1356856	2223240
379	1360007	2218959
380	1362781	2214072
381	1366214	2210263
382	1369739	2206604
383	1373451	2203244
384	1377077	2199747
385	1381359	2197291
386	1386599	2196344
387	1389659	2191937
388	1392891	2187807
389	1396315	2183980
390	1399937	2180464
391	1404346	2178170
392	1408379	2175282
393	1412220	2172095
394	1415544	2168112
395	1419850	2165630
396	1423020	2161413
397	1426846	2158194
398	1430720	2155044
399	1433829	2150744
400	1437475	2147252
401	1441618	2144497
402	1444607	2140026
403	1449231	2137975
404	1454143	2136334
405	1458527	2133905
406	1463479	2132293
407	1466801	2128300
408	1470153	2124353
409	1473476	2120368
410	1476211	2115544
411	1480636	2113140
412	1483790	2108922
413	1486881	2104619
414	1490340	2100842
415	1493812	2097082
416	1497061	2093014
417	1499987	2088498
418	1503626	2084980
419	1507289	2081495
420	1510255	2077050
421	1513058	2072388
422	1516195	2068191
423	1519414	2064110
424	1523041	2060586
425	1527589	2058300
426	1530790	2054199
427	1534268	2050471
428	1538027	2047118
429	1541905	2043921
430	1545447	2040277
431	1550359	2038435
432	1554446	2035498
433	1557819	2031626
434	1560587	2026969
435	1564365	2023628
436	1567941	2020025
437	1570881	2015605
438	1574749	2012379
439	1578237	2008665
440	1584103	2007967
441	1587912	2004649
442	1592223	2001960
443	1598794	2002093
444	1601803	1997755
445	1604731	1993321
446	1607854	1989135
447	1610990	1984970
448	1614292	1981013
449	1617190	1976566
450	1619167	1971003
451	1622472	1967068
452	1625232	1962477
453	1628658	1958694
454	1631882	1954672
455	1635149	1950704
456	1638235	1946524
457	1641199	1942205
458	1644526	1938319
459	1647758	1934324
460	1651823	1931308
461	1654468	1926631
462	1657387	1922283
463	1660456	1918113
464	1664112	1914623
465	1666942	1910187
466	1669955	1905966
467	1673197	1902011
468	1675985	1897544
469	1679087	1893439
470	1682786	1890008
471	1686311	1886382
472	1689200	1882048
473	1692311	1877966
474	1695776	1874279
475	1698812	1870121
476	1701650	1865750
477	1705104	1862060
478	1708533	1858341
479	1712228	1854913
480	1715415	1850937
481	1718805	1847180
482	1722003	1843221
483	1724943	1838989
484	1728854	1835793
485	1731871	1831649
486	1735088	1827721
487	1738685	1824195
488	1742550	1820947
489	1745634	1816884
490	1748755	1812864
491	1751497	1808456
492	1754744	1804575
493	1757723	1800421
494	1761579	1797167
495	1764409	1792867
496	1767196	1788530
497	1770828	1785052
498	1774482	1781594
499	1778039	1778039
500	1781011	1773901
501	1784244	1770027
502	1787647	1766323
503	1790794	1762369
504	1793906	1758383
505	1796615	1754008
506	1799470	1749781
507	1802308	1745542
508	1805458	1741611
509	1808118	1737212
510	1810892	1732928
511	1813892	1728866
512	1817031	1724940
513	1820053	1720907
514	1823747	1717509
515	1826852	1713559
516	1830424	1710048
517	1833098	1705701
518	1834913	1700564
519	1837415	1696075
520	1841068	1692652
521	1844336	1688875
522	1847185	1684718
523	1850210	1680725
524	1852770	1676316
525	1856328	1672813
526	1859555	1669012
527	1862584	1665037
528	1865302	1660789
529	1867945	1656479
530	1871613	1653082
531	1875100	1649524
532	1878216	1645641
533	1881918	1642273
534	1884372	1637818
535	1887495	1633951
536	1890342	1629848
537	1893117	1625687
538	1896090	1621702
539	1898470	1617215
540	1901009	1612871
541	1904116	1609013
542	1907649	1605516
543	1911078	1601933
544	1913671	1597652
545	1916685	1593727
546	1920341	1590337
547	1922824	1585979
548	1925507	1581792
549	1928435	1577810
550	1931379	1573846
551	1933145	1568930
552	1936155	1565029
553	1939631	1561508
554	1942735	1557688
555	1946088	1554070
556	1948949	1550062
557	1952321	1546462
558	1955891	1543019
559	1958868	1539111
560	1961922	1535265
561	1964754	1531249
562	1967561	1527219
563	1970319	1523155
564	1973050	1519074
565	1976386	1515462
566	1979515	1511693
567	1982453	1507781
568	1986749	1504901
569	1990509	1501612
570	1993979	1498103
571	1996817	1494122
572	2000775	1490979
573	2004295	1487508
574	2008275	1484377
575	2011611	1480769
576	2015447	1477528
577	2019131	1474175
578	2023256	1471141
579	2026413	1467402
580	2029806	1463836
581	2033338	1460370
582	2036703	1456784
583	2040026	1453169
584	2043249	1449484
585	2046649	1445926
586	2050148	1442438
587	2053254	1438674
588	2056507	1435016
589	2059711	1431324
590	2062880	1427610
591	2065703	1423660
592	2068779	1419887
593	2072299	1416420
594	2075306	1412603
595	2078024	1408593
596	2081127	1404848
597	2084907	1401560
598	2088323	1398026
599	2090917	1393945
600	2094118	1390271
601	2096946	1386353
602	2099817	1382466
603	2102866	1378700
604	2105806	1374865
605	2108563	1370914
606	2111833	1367299
607	2115541	1363967
608	2118397	1360087
609	2121587	1356424
610	2125226	1353049
611	2128249	1349282
612	2131273	1345518
613	2134620	1341960
614	2138090	1338479
615	2141393	1334894
616	2144992	1331494
617	2147929	1327684
618	2150916	1323908
619	2153418	1319837
620	2156142	1315906
621	2159148	1312151
622	2162158	1308401
623	2164691	1304365
624	2167990	1300794
625	2171005	1297054
626	2173387	1292940
627	2176238	1289109
628	2179730	1285659
629	2182886	1282012
630	2185942	1278308
631	2188884	1274540
632	2191622	1270656
633	2194300	1266741
634	2197848	1263330
635	2200585	1259454
636	2203445	1255652
637	2206916	1252200
638	2209791	1248411
639	2213764	1245242
640	2217005	1241661
641	2220276	1238098
642	2223648	1234591
643	2227304	1231243
644	2230334	1227548
645	2233066	1223692
646	2235283	1219559
647	2238096	1215755
648	2241019	1212015
649	2244271	1208454
650	2247583	1204925
651	2250370	1201118
652	2253435	1197461
653	2256026	1193555
654	2258703	1189698
655	2262103	1186224
656	2265216	1182601
657	2268311	1178970
658	2271140	1175203
659	2274063	1171487
660	2277450	1168011
661	2280335	1164279
662	2283458	1160672
663	2286690	1157120
664	2289756	1153486
665	2292772	1149829
666	2296232	1146395
667	2299628	1142929
668	2303006	1139454
669	2306296	1135936
670	2309341	1132300
671	2312944	1128937
672	2316645	1125621
673	2319383	1121838
674	2322567	1118273
675	2325106	1114399
676	2328543	1110959
677	2332189	1107618
678	2335825	1104271
679	2338684	1100557
680	2342068	1097092
681	2345870	1093822
682	2348982	1090230
683	2351769	1086490
684	2354827	1082877
685	2357342	1079016
686	2361043	1075701
687	2365834	1072878
688	2369948	1069744
689	2373463	1066338
690	2377278	1063066
691	2380465	1059513
692	2383437	1055866
693	2386883	1052429
694	2389784	1048754
695	2392976	1045208
696	2396007	1041593
697	2398689	1037828
698	2402157	1034405
699	2405001	1030714
700	2408091	1027131
701	2411039	1023489
702	2414111	1019901
703	2417599	1016490
704	2421394	1013207
705	2426067	1010288
706	2429428	1006820
707	2432573	1003264
708	2436441	1000006
709	2439884	996572
710	2443653	993271
711	2447222	989887
712	2450663	986452
713	2454169	983042
714	2458548	979980
715	2460953	976132
716	2464416	972705
717	2467767	969234
718	2471389	965870
719	2474840	962437
720	2478629	959136
721	2481585	955513
722	2484328	951810
723	2487918	948432
724	2491067	944887
725	2495460	941813
726	2498239	938128
727	2501701	934701
728	2506100	931623
729	2509453	928154
730	2512434	924548
731	2515791	921082
732	2519161	917621
733	2522053	913986
734	2525655	910610
735	2528514	906967
736	2531698	903441
737	2535045	899975
738	2537821	896307
739	2541715	893035
740	2545103	889583
741	2548380	886094
742	2551498	882550
743	2555146	879190
744	2558094	875589
745	2561429	872122
746	2564706	868635
747	2568135	865200
748	2571192	861641
749	2574068	858022
750	2577461	854577
751	2580643	851063
752	2584052	847624
753	2587265	844120
754	2591566	840971
755	2595297	837635
756	2598797	834224
757	2602985	831032
758	2607244	827860
759	2611004	824527
760	2614938	821248
761	2618157	817744
762	2621244	814200
763	2624186	810612
764	2627789	807229
765	2630688	803630
766	2632467	799693
767	2634541	795851
768	2638305	792521
769	2641348	788974
770	2644559	785478
771	2648166	782101
772	2652145	778831
773	2655690	775434
774	2658477	771815
775	2661794	768353
776	2665503	765002
777	2668477	761442
778	2671919	758015
779	2674975	754480
780	2678289	751018
781	2681306	747474
782	2684251	743911
783	2687075	740316
784	2690766	736961
785	2693884	733449
786	2697657	730115
787	2700450	726517
788	2703370	722954
789	2706219	719374
790	2709216	715836
791	2711969	712234
792	2714864	708672
793	2717881	705143
794	2721134	701676
795	2724646	698276
796	2727570	694726
797	2730374	691147
798	2733205	687577
799	2735645	683911
800	2739173	680518
801	2742632	677108
802	2745489	673550
803	2748879	670124
804	2751606	666538
805	2755260	663176
806	2758106	659621
807	2761065	656094
808	2763918	652544
809	2766424	648914
810	2769937	645521
811	2773356	642107
812	2776101	638537
813	2779409	635098
814	2783381	631810
815	2786665	628365
816	2789487	624817
817	2793069	621440
818	2796192	617961
819	2798650	614337
820	2801502	610802
821	2804346	607267
822	2807056	603704
823	2809936	600180
824	2812498	596590
825	2815184	593029
826	2818340	589568
827	2821439	586096
828	2823913	582496
829	2826193	578858
830	2829275	575388
831	2832392	571925
832	2834249	568210
833	2837257	564729
834	2840253	561247
835	2843310	557778
836	2846138	554265
837	2849039	550768
838	2852379	547357
839	2855514	543907
840	2858622	540452
841	2861684	536990
842	2865042	533584
843	2868232	530147
844	2871607	526744
845	2874786	523306
846	2878272	519924
847	2881756	516541
848	2884196	512972
849	2886753	509427
850	2890334	506063
851	2893304	502592
852	2896121	499097
853	2899253	495656
854	2902670	492265
855	2905949	488851
856	2909449	485474
857	2912781	482068
858	2916251	478686
859	2919869	475327
860	2923558	471979
861	2926523	468515
862	2929605	465070
863	2931983	461515
864	2934985	458061
865	2937361	454510
866	2940358	451058
867	2942453	447469
868	2945710	444059
869	2948450	440573
870	2951487	437131
871	2955324	433809
872	2958349	430367
873	2960139	426747
874	2963104	423300
875	2966521	419918
876	2969229	416437
877	2971775	412934
878	2975606	409611
879	2978741	406191
880	2982051	402797
881	2985120	399369
882	2988099	395931
883	2991202	392510
884	2993636	389003
885	2996971	385614
886	3001319	382355
887	3004152	378902
888	3006809	375428
889	3009498	371960
890	3012262	368503
891	3015409	365094
892	3018199	361643
893	3021196	358217
894	3023186	354675
895	3026441	351283
896	3029411	347858
897	3032535	344452
898	3035644	341045
899	3039102	337678
900	3042179	334268
901	3045177	330850
902	3048210	327437
903	3051595	324063
904	3055087	320699
905	3058232	317300
906	3061215	313884
907	3064273	310477
908	3067341	307071
909	3070858	303711
910	3074214	300334
911	3077081	296911
912	3080143	293507
913	3083248	290108
914	3086327	286708
915	3089635	283329
916	3092000	279864
917	3094481	276413
918	3097362	272999
919	3100444	269603
920	3103554	266211
921	3106661	262819
922	3109041	259367
923	3111655	255937
924	3114387	252517
925	3117809	249155
926	3121082	245781
927	3123240	242320
928	3126129	238918
929	3129409	235546
930	3132254	232143
931	3135263	228753
932	3137614	225316
933	3140330	221907
934	3143088	218503
935	3146018	215112
936	3149318	211747
937	3152479	208372
938	3155552	204993
939	3158120	201582
940	3161149	198201
941	3164388	194834
942	3167570	191465
943	3170529	188082
944	3173941	184726
945	3176985	181350
946	3179999	177972
947	3183255	174608
948	3186815	171261
949	3190050	167897
950	3193268	164532
951	3196735	161179
952	3200148	157824
953	3202578	154422
954	3205596	151049
955	3208752	147683
956	3212253	144333
957	3215684	140979
958	3219369	137637
959	3221910	134246
960	3225046	130881
961	3228158	127515
962	3231545	124161
963	3234968	120807
964	3239400	117491
965	3243675	114166
966	3247401	110821
967	3251780	107496
968	3254729	104124
969	3258640	100782
970	3262475	97437
971	3265104	94056
972	3268285	90692
973	3271799	87337
974	3274701	83966
975	3278397	80616
976	3281298	77246
977	3284149	73876
978	3286902	70505
979	3289327	67129
980	3292384	63766
981	3294959	60396
982	3298394	57042
983	3300965	53674
984	3304498	50322
985	3307564	46963
986	3310567	43604
987	3313819	40248
988	3317467	36898
989	3319359	33528
990	3322628	30175
991	3326239	26824
992	3329196	23468
993	3331999	20112
994	3335144	16759
995	3338168	13406
996	3341243	10053
997	3344403	6702
998	3347553	3350
999	3350084	0
